X y
-2.000000000000000000e+00 1.098028491806739337e+00
-1.989989989989989994e+00 7.320564343123040496e-01
-1.979979979979979987e+00 1.218643152890445336e+00
-1.969969969969969981e+00 1.758862958889860106e+00
-1.959959959959959974e+00 7.195680352260582779e-01
-1.949949949949949968e+00 7.345929009055665038e-01
-1.939939939939939961e+00 1.837617779394524753e+00
-1.929929929929929955e+00 1.365565942596850046e+00
-1.919919919919919948e+00 6.384354885591486672e-01
-1.909909909909909942e+00 1.260671161286713637e+00
-1.899899899899899935e+00 6.720995344626725654e-01
-1.889889889889889929e+00 6.857273130230108205e-01
-1.879879879879879923e+00 1.125357543119800408e+00
-1.869869869869869916e+00 -1.527729515994837861e-01
-1.859859859859859910e+00 -2.474048929760974680e-02
-1.849849849849849903e+00 6.878527076806413287e-01
-1.839839839839839897e+00 4.325415680395857665e-01
-1.829829829829829890e+00 1.243803654812419390e+00
-1.819819819819819884e+00 5.254558249575433937e-01
-1.809809809809809877e+00 2.379030644841100273e-01
-1.799799799799799871e+00 1.979689561653232399e+00
-1.789789789789789864e+00 9.798495350233936696e-01
-1.779779779779779858e+00 1.170847253143084243e+00
-1.769769769769769852e+00 2.904964336172709549e-01
-1.759759759759759845e+00 8.337307256452504145e-01
-1.749749749749749839e+00 1.241928929201294718e+00
-1.739739739739739832e+00 4.997942439370084422e-01
-1.729729729729729826e+00 1.430824216412808214e+00
-1.719719719719719819e+00 8.600372064691370610e-01
-1.709709709709709813e+00 1.060419185559469124e+00
-1.699699699699699806e+00 8.894264831128120274e-01
-1.689689689689689800e+00 2.376832376170827654e+00
-1.679679679679679793e+00 1.272382145637719786e+00
-1.669669669669669787e+00 6.608689381219552406e-01
-1.659659659659659781e+00 1.804037457772423636e+00
-1.649649649649649774e+00 5.930193355429118629e-01
-1.639639639639639768e+00 1.465858697543393374e+00
-1.629629629629629761e+00 1.797534812276899707e-01
-1.619619619619619755e+00 5.736589412315119541e-01
-1.609609609609609748e+00 1.503702327107059311e+00
-1.599599599599599742e+00 1.843680548597846469e+00
-1.589589589589589513e+00 1.518436584329597938e+00
-1.579579579579579507e+00 1.361241661197686303e+00
-1.569569569569569500e+00 1.264983428292072443e+00
-1.559559559559559494e+00 5.735474664402042677e-01
-1.549549549549549488e+00 1.043769150638850451e+00
-1.539539539539539481e+00 1.214307428114818288e+00
-1.529529529529529475e+00 2.139979041437054974e+00
-1.519519519519519468e+00 1.726891694461797577e+00
-1.509509509509509462e+00 4.779116425180953698e-01
-1.499499499499499455e+00 1.745201132387627752e+00
-1.489489489489489449e+00 1.334716397515975927e+00
-1.479479479479479442e+00 1.174627580597205512e+00
-1.469469469469469436e+00 1.962801569100316446e+00
-1.459459459459459429e+00 2.229410524308381270e+00
-1.449449449449449423e+00 2.184593897295544984e+00
-1.439439439439439417e+00 1.137310326907257751e+00
-1.429429429429429410e+00 1.470328430345127169e+00
-1.419419419419419404e+00 1.869628929713009313e+00
-1.409409409409409397e+00 2.271212962159301352e+00
-1.399399399399399391e+00 1.413396358193726776e+00
-1.389389389389389384e+00 1.604520529917625504e+00
-1.379379379379379378e+00 1.067129946527313855e+00
-1.369369369369369371e+00 1.028221971497543574e+00
-1.359359359359359365e+00 2.248476454397479785e+00
-1.349349349349349358e+00 2.589719993118469787e+00
-1.339339339339339352e+00 1.747784918042790681e+00
-1.329329329329329346e+00 2.408125744741220320e+00
-1.319319319319319339e+00 2.038002636049601524e+00
